lamp_num,granularity,cutoff,approach,baseline_eu_norm,n_baseline,generator_name,ranker,cutoff_ild_norm,selected_setting,self_membership_frac,n,delta_eu_norm,p_value,sig
5,gen_x_ranker,bottom25,approach_a,0.5418591187435086,734,flanT5Base,contriever,0.9383266980010307,pl_a8,0.5136239782016349,734,0.0013332872172977517,0.9420311472989528,
5,gen_x_ranker,bottom25,approach_b,0.5418591187435086,734,flanT5Base,contriever,0.9383266980010307,,,1835,-0.022414418890644106,0.1411762319311319,
5,gen_x_ranker,bottom50,approach_a,0.5418591187435086,734,flanT5Base,contriever,0.9614856852217593,pl_a8,0.7697547683923706,734,0.0013332872172977517,0.9420311472989528,
5,gen_x_ranker,bottom50,approach_b,0.5418591187435086,734,flanT5Base,contriever,0.9614856852217593,,,3670,-0.02269082440605641,0.11108721473703938,
5,gen_x_ranker,bottom25,approach_a,0.45781703447796235,812,flanT5Small,bm25,0.9556980726012927,mmr_l0.7,0.5816326530612245,98,0.06206948183196265,0.09312046025872656,
5,gen_x_ranker,bottom25,approach_b,0.45781703447796235,812,flanT5Small,bm25,0.9556980726012927,,,1495,0.004039363906483573,0.7890833268582381,
5,gen_x_ranker,bottom50,approach_a,0.45781703447796235,812,flanT5Small,bm25,0.9791353205409736,mmr_l0.7,0.8877551020408163,98,0.06206948183196265,0.09312046025872656,
5,gen_x_ranker,bottom50,approach_b,0.45781703447796235,812,flanT5Small,bm25,0.9791353205409736,,,2989,-0.0009325358238730375,0.9470907124725892,
5,gen_x_ranker,bottom25,approach_a,0.4658683365765844,812,flanT5Small,contriever,0.9527780920513172,mmr_l0.7,0.5408163265306123,98,0.03133117807088387,0.3930686333645063,
5,gen_x_ranker,bottom25,approach_b,0.4658683365765844,812,flanT5Small,contriever,0.9527780920513172,,,1495,-0.002481637849059526,0.868526932740744,
5,gen_x_ranker,bottom50,approach_a,0.4658683365765844,812,flanT5Small,contriever,0.9753982446527005,mmr_l0.7,0.8571428571428571,98,0.03133117807088387,0.3930686333645063,
5,gen_x_ranker,bottom50,approach_b,0.4658683365765844,812,flanT5Small,contriever,0.9753982446527005,,,2990,-0.023418074974725644,0.09253465927053489,
5,generator_pooled,bottom25,approach_a,0.5338110545976394,1468,flanT5Base,,0.9396433905676304,pl_a8,0.5054495912806539,1468,0.0034480407134097613,0.7910433975602579,
5,generator_pooled,bottom25,approach_b,0.5338110545976394,1468,flanT5Base,,0.9396433905676304,,,3671,-0.022921071430724083,0.03429355254532184,*
